Date,Cases,Deaths,Tests
3/3/2020,0,0,107
3/4/2020,0,0,155
3/5/2020,1,0,219
3/6/2020,1,0,219
3/7/2020,1,0,250
3/8/2020,7,0,318
3/9/2020,9,0,346
3/10/2020,11,0,656
3/11/2020,17,0,656
3/12/2020,22,0,656
3/13/2020,38,0,1232
3/14/2020,43,0,1822
3/15/2020,71,0,2315
3/16/2020,86,0,2797
3/17/2020,117,0,3075
3/18/2020,145,0,3841
3/19/2020,234,2,4298
3/20/2020,263,3,5185
3/21/2020,318,5,6184
3/22/2020,363,5,7013
3/23/2020,395,5,7486
3/24/2020,416,7,8040
3/25/2020,558,8,9219
3/26/2020,580,9,10065
3/27/2020,635,11,10896
3/28/2020,671,16,12669
3/29/2020,852,18,13452
3/30/2020,950,24,14463
3/31/2020,1065,30,15587
4/1/2020,1323,47,16518
4/2/2020,1414,55,17334
4/3/2020,1595,61,17841
4/4/2020,1746,73,19410
4/5/2020,2281,83,20414
4/6/2020,2561,92,21555
4/7/2020,2954,107,39599
4/8/2020,4342,121,48465
4/9/2020,5256,138,56681
4/10/2020,5897,169,65712
4/11/2020,6848,181,76506
4/12/2020,7519,193,87116
4/13/2020,7519,193,102216
4/14/2020,10303,230,109385
4/15/2020,11475,254,121468
4/16/2020,12491,274,121468
4/17/2020,13489,300,135895
4/18/2020,14420,348,143745
4/19/2020,15628,400,148011
4/20/2020,16325,445,155724
4/21/2020,17837,484,170400
4/22/2020,19250,530,185238
4/23/2020,20914,572,198349
4/24/2020,21648,634,218195
4/25/2020,25331,700,232747
4/26/2020,27517,728,232747
4/27/2020,28699,782,239563
4/28/2020,31190,854,267612
4/29/2020,33931,943,318252
4/30/2020,36976,1051,342498
5/1/2020,40459,1124,342498
5/2/2020,42534,1200,375096
5/3/2020,45928,1286,385492
5/4/2020,47372,1344,406579
5/5/2020,51189,1444,406579
5/6/2020,54817,1533,448020
5/7/2020,58526,1627,473190
5/8/2020,61847,1714,473190
5/9/2020,65015,1814,494250
5/10/2020,67307,1889,504930
5/11/2020,68822,1961,512869
5/12/2020,72059,2057,532169
5/13/2020,76306,2169,553302
5/14/2020,80604,2267,587292
5/15/2020,84495,2392,605383
5/16/2020,88541,2523,630482
5/17/2020,92273,2648,650613
5/18/2020,94933,2789,661132
5/19/2020,99483,2914,679582
5/20/2020,104020,3024,715423
5/21/2020,108769,3148,736500
5/22/2020,111698,3244,750526
