Date,Cases,Deaths,Tests
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,1,0,0
2020-01-22,1,0,0
2020-01-23,1,0,0
2020-01-24,1,0,0
2020-01-25,2,0,0
2020-01-26,2,0,0
2020-01-27,5,0,0
2020-01-28,5,0,0
2020-01-29,5,0,0
2020-01-30,5,0,0
2020-01-31,6,0,0
2020-02-01,7,0,0
2020-02-02,8,0,0
2020-02-03,11,0,0
2020-02-04,11,0,0
2020-02-05,11,0,0
2020-02-06,12,0,0
2020-02-07,12,0,0
2020-02-08,12,0,0
2020-02-09,12,0,0
2020-02-10,12,0,0
2020-02-11,13,0,0
2020-02-12,13,0,0
2020-02-13,14,0,0
2020-02-14,15,0,0
2020-02-15,15,0,0
2020-02-16,15,0,0
2020-02-17,15,0,0
2020-02-18,15,0,0
2020-02-19,15,0,0
2020-02-20,15,0,0
2020-02-21,16,0,0
2020-02-22,35,0,0
2020-02-23,35,0,0
2020-02-24,35,0,0
2020-02-25,53,0,0
2020-02-26,53,0,0
2020-02-27,59,0,0
2020-02-28,60,0,0
2020-02-29,66,0,0
2020-03-01,69,1,0
2020-03-02,89,2,0
2020-03-03,103,6,0
2020-03-04,125,9,0
2020-03-05,159,11,0
2020-03-06,233,12,0
2020-03-07,338,14,3753
2020-03-08,433,17,4624
2020-03-09,554,21,6420
2020-03-10,754,26,8832
2020-03-11,1025,28,12580
2020-03-12,1312,30,17717
2020-03-13,1663,40,26773
2020-03-14,2174,47,31273
2020-03-15,2951,57,38948
2020-03-16,3774,69,56611
2020-03-17,4661,85,72185
2020-03-18,6427,108,96858
2020-03-19,9415,150,124258
2020-03-20,14250,150,160413
2020-03-21,19624,260,205167
2020-03-22,26747,340,249769
2020-03-23,35206,471,306904
2020-03-24,46442,590,375517
2020-03-25,55231,801,459004
2020-03-26,69194,1050,559468
2020-03-27,85991,1296,662538
2020-03-28,104686,1707,766904
2020-03-29,124665,2191,855684
2020-03-30,143025,2509,973134
2020-03-31,164620,3170,1084228
2020-04-01,189618,4079,1191810
2020-04-02,216721,5138,1309833
2020-04-03,245540,6053,1442065
2020-04-04,277965,7157,1670862
2020-04-05,312237,8501,1790521
2020-04-06,337635,9647,1941251
2020-04-07,368196,10989,2093996
2020-04-08,398809,12895,2238429
2020-04-09,432132,14817,2404262
2020-04-10,466033,16690,2562049
2020-04-11,501560,18777,2701760
2020-04-12,529951,20608,2842322
2020-04-13,557571,22108,2975315
2020-04-14,582594,23649,3125858
2020-04-15,609516,26057,3262564
2020-04-16,639664,30985,3424690
2020-04-17,671331,33284,3582859
2020-04-18,702164,37054,3725196
2020-04-19,735086,38910,3885586
2020-04-20,759687,40682,4033318
2020-04-21,787752,42539,4181428
2020-04-22,825041,45063,4499055
2020-04-23,842629,46784,4693749
2020-04-24,869172,49963,4928713
2020-04-25,890524,51017,5208241
2020-04-26,939053,53189,5415556
2020-04-27,965910,54876,5612804
2020-04-28,988451,56245,5817984
2020-04-29,1012583,58355,6051606
2020-04-30,1039909,60966,6282220
2020-05-01,1069826,63006,6579103
2020-05-02,1103781,65068,6829511
2020-05-03,1133069,66385,7070395
2020-05-04,1158041,67682,7304215
2020-05-05,1180634,68934,7565036
2020-05-06,1204475,71078,7811170
2020-05-07,1228603,73431,8115475
2020-05-08,1256972,75670,8414746
2020-05-09,1283929,77180,8708298
2020-05-10,1309541,78794,8979505
2020-05-11,1329799,79528,9364139
2020-05-12,1347916,80684,9668813
2020-05-13,1369964,82387,9995349
2020-05-14,1390746,84133,10376969
2020-05-15,1417889,85906,10738555
2020-05-16,1443397,87568,11093390
2020-05-17,1467884,88754,11498120
2020-05-18,1486757,89562,11835174
2020-05-19,1508598,90353,12234454
2020-05-20,1528568,91921,12608216
2020-05-21,1551853,93439,13024762
2020-05-22,1577287,94702,13419058
2020-05-23,1601434,96007,13784786
2020-05-24,1622670,97087,14163694
